|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |    Reference |
| NGFS033406-351638 |    53.524865 |   -35.277294 | 03:34:05.97 | -35:16:38.26 |  19.12 | -12.39 |     0.82 |       6.278 |    0.609 |       FCC127 |
| NGFS033407-352838 |    53.529061 |   -35.477220 | 03:34:06.97 | -35:28:37.99 |  21.14 | -10.37 |     0.82 |       6.317 |    0.613 |              |
| NGFS033407-352252 |    53.530179 |   -35.381202 | 03:34:07.24 | -35:22:52.33 |  22.51 |  -9.00 |     0.13 |       3.616 |    0.351 |              |
| NGFS033409-353100 |    53.538247 |   -35.516529 | 03:34:09.18 | -35:30:59.50 |  17.89 | -13.62 |     0.80 |      18.431 |    1.787 |              |
| NGFS033412-354401 |    53.550338 |   -35.733657 | 03:34:12.08 | -35:44:01.17 |  21.79 |  -9.72 |     0.46 |       1.996 |    0.194 |              |
| NGFS033414-354910 |    53.559525 |   -35.819460 | 03:34:14.29 | -35:49:10.06 |  20.30 | -11.21 |     0.39 |       6.428 |    0.623 |              |
| NGFS033418-354741 |    53.576058 |   -35.794642 | 03:34:18.25 | -35:47:40.71 |  17.51 | -14.00 |     0.93 |       5.894 |    0.571 |       FCC132 |
| NGFS033422-353349 |    53.590659 |   -35.563703 | 03:34:21.76 | -35:33:49.33 |  22.10 |  -9.41 |     0.50 |       1.176 |    0.114 |              |
| NGFS033423-355042 |    53.597238 |   -35.844970 | 03:34:23.34 | -35:50:41.89 |  19.69 | -11.82 |     0.73 |       8.595 |    0.833 |              |
| NGFS033425-355805 |    53.602888 |   -35.968020 | 03:34:24.69 | -35:58:04.87 |  20.94 | -10.57 |     1.46 |       3.082 |    0.299 |              |
| NGFS033427-350621 |    53.613253 |   -35.105768 | 03:34:27.18 | -35:06:20.76 |  21.06 | -10.45 |     0.95 |       4.726 |    0.458 |              |
| NGFS033428-354837 |    53.618306 |   -35.810364 | 03:34:28.39 | -35:48:37.31 |  20.28 | -11.23 |     1.03 |       2.204 |    0.214 |              |
| NGFS033429-345640 |    53.618841 |   -34.944465 | 03:34:28.52 | -34:56:40.07 |  22.63 |  -8.88 |     0.74 |       3.477 |    0.337 |              |
| NGFS033433-350236 |    53.635630 |   -35.043195 | 03:34:32.55 | -35:02:35.50 |  20.89 | -10.62 |     0.78 |       5.052 |    0.490 |              |
| NGFS033436-360315 |    53.651586 |   -36.054242 | 03:34:36.38 | -36:03:15.27 |  21.07 | -10.44 |     0.62 |       5.807 |    0.563 |              |
| NGFS033443-353115 |    53.680791 |   -35.520855 | 03:34:43.39 | -35:31:15.08 |  20.96 | -10.55 |     0.74 |       3.821 |    0.371 |              |
| NGFS033446-354239 |    53.692022 |   -35.710803 | 03:34:46.09 | -35:42:38.89 |  20.93 | -10.58 |     0.43 |       6.528 |    0.633 |              |
| NGFS033452-355903 |    53.717955 |   -35.984151 | 03:34:52.31 | -35:59:02.94 |  22.66 |  -8.85 |     0.73 |       0.973 |    0.094 |              |
| NGFS033456-352741 |    53.732771 |   -35.461505 | 03:34:55.87 | -35:27:41.42 |  22.45 |  -9.06 |     0.59 |       2.217 |    0.215 |              |
| NGFS033457-354115 |    53.735651 |   -35.687366 | 03:34:56.56 | -35:41:14.52 |  21.53 |  -9.98 |     0.73 |       3.135 |    0.304 |              |
| NGFS033458-351324 |    53.739835 |   -35.223450 | 03:34:57.56 | -35:13:24.42 |  19.23 | -12.28 |     1.00 |       5.662 |    0.549 |     WFLSB6-2 |
| NGFS033500-351920 |    53.750845 |   -35.322295 | 03:35:00.20 | -35:19:20.26 |  18.75 | -12.76 |     0.81 |       6.046 |    0.586 |       FCC144 |
| NGFS033505-352703 |    53.772229 |   -35.450817 | 03:35:05.33 | -35:27:02.94 |  20.01 | -11.50 |     0.77 |       8.571 |    0.831 |     WFLSB5-1 |
| NGFS033505-351307 |    53.772831 |   -35.218592 | 03:35:05.48 | -35:13:06.93 |  18.42 | -13.09 |     0.77 |       5.163 |    0.501 |       FCC145 |
| NGFS033512-352603 |    53.799719 |   -35.434218 | 03:35:11.93 | -35:26:03.18 |  21.27 | -10.24 |     1.35 |       4.077 |    0.395 |              |
| NGFS033515-353012 |    53.814204 |   -35.503450 | 03:35:15.41 | -35:30:12.42 |  22.38 |  -9.13 |     0.08 |       5.184 |    0.503 |              |
| NGFS033524-360530 |    53.849200 |   -36.091600 | 03:35:23.81 | -36:05:29.76 |  19.40 | -12.11 |     0.68 |       6.278 |    0.609 |       FCC149 |
| NGFS033526-361108 |    53.857306 |   -36.185438 | 03:35:25.75 | -36:11:07.58 |    nan |    nan |      nan |         nan |      nan |              |
| NGFS033530-351508 |    53.876525 |   -35.252294 | 03:35:30.37 | -35:15:08.26 |  18.39 | -13.12 |     0.87 |      11.183 |    1.084 |       FCC154 |
| NGFS033534-344817 |    53.891461 |   -34.804781 | 03:35:33.95 | -34:48:17.21 |  17.60 | -13.91 |     0.70 |       7.732 |    0.750 |       FCC155 |
| NGFS033538-350539 |    53.908864 |   -35.094240 | 03:35:38.13 | -35:05:39.26 |  21.99 |  -9.52 |     0.69 |       2.067 |    0.200 |     WFLSB6-7 |
| NGFS033543-352018 |    53.928093 |   -35.338458 | 03:35:42.74 | -35:20:18.45 |  16.58 | -14.93 |     0.89 |      12.682 |    1.230 |       FCC156 |
| NGFS033543-355051 |    53.929432 |   -35.847585 | 03:35:43.06 | -35:50:51.31 |  20.09 | -11.42 |     0.64 |       5.499 |    0.533 |              |
| NGFS033547-352142 |    53.947250 |   -35.361778 | 03:35:47.34 | -35:21:42.40 |  20.87 | -10.64 |     1.06 |       3.821 |    0.371 |     WFLSB5-6 |
| NGFS033550-354229 |    53.956502 |   -35.708022 | 03:35:49.56 | -35:42:28.88 |  22.29 |  -9.22 |     1.20 |       1.089 |    0.106 |              |
| NGFS033552-345517 |    53.966222 |   -34.921440 | 03:35:51.89 | -34:55:17.18 |  21.92 |  -9.59 |     0.91 |       1.633 |    0.158 |              |
| NGFS033556-351740 |    53.982985 |   -35.294459 | 03:35:55.92 | -35:17:40.05 |    nan |    nan |      nan |         nan |      nan |              |
| NGFS033556-344943 |    53.981764 |   -34.828508 | 03:35:55.62 | -34:49:42.63 |  17.55 | -13.96 |     0.75 |      13.644 |    1.323 |       FCC159 |
| NGFS033557-343756 |    53.987937 |   -34.632328 | 03:35:57.10 | -34:37:56.38 |  18.68 | -12.83 |     1.01 |       6.188 |    0.600 |              |
| NGFS033558-352053 |    53.991060 |   -35.348000 | 03:35:57.85 | -35:20:52.80 |  19.30 | -12.21 |     0.72 |       4.216 |    0.409 |     WFLSB6-4 |
| NGFS033600-355610 |    54.000458 |   -35.936191 | 03:36:00.11 | -35:56:10.29 |  21.52 |  -9.99 |     0.39 |       3.669 |    0.356 |              |
| NGFS033600-345240 |    54.000817 |   -34.877802 | 03:36:00.20 | -34:52:40.09 |  19.44 | -12.07 |     0.70 |       7.640 |    0.741 |              |
| NGFS033601-361529 |    54.004474 |   -36.257919 | 03:36:01.07 | -36:15:28.51 |  20.34 | -11.17 |     0.72 |       3.674 |    0.356 |              |
| NGFS033602-351839 |    54.007345 |   -35.310717 | 03:36:01.76 | -35:18:38.58 |  20.97 | -10.54 |     0.84 |       2.875 |    0.279 |     WFLSB6-8 |
| NGFS033603-362116 |    54.010699 |   -36.354512 | 03:36:02.57 | -36:21:16.24 |  21.52 |  -9.99 |     1.26 |       3.096 |    0.300 |              |
| NGFS033605-362009 |    54.018900 |   -36.335900 | 03:36:04.54 | -36:20:09.24 |  20.05 | -11.46 |     0.67 |       7.161 |    0.694 |              |
| NGFS033607-355033 |    54.027772 |   -35.842585 | 03:36:06.67 | -35:50:33.31 |  18.61 | -12.90 |     0.60 |      12.130 |    1.176 |       FCC163 |
| NGFS033608-355913 |    54.035091 |   -35.986927 | 03:36:08.42 | -35:59:12.94 |  21.07 | -10.44 |     1.28 |       4.011 |    0.389 |              |
| NGFS033609-353903 |    54.039279 |   -35.650919 | 03:36:09.43 | -35:39:03.31 |  21.05 | -10.46 |     0.87 |       1.920 |    0.186 |              |
| NGFS033610-354017 |    54.042107 |   -35.671438 | 03:36:10.11 | -35:40:17.18 |  21.03 | -10.48 |     0.75 |       5.068 |    0.491 |              |
| NGFS033611-345034 |    54.046175 |   -34.842816 | 03:36:11.08 | -34:50:34.14 |    nan |    nan |      nan |         nan |      nan |              |
| NGFS033612-350333 |    54.048388 |   -35.059246 | 03:36:11.61 | -35:03:33.29 |  21.39 | -10.12 |     1.06 |       1.644 |    0.159 |              |
| NGFS033612-354447 |    54.050916 |   -35.746384 | 03:36:12.22 | -35:44:46.98 |  21.36 | -10.15 |     0.63 |       3.382 |    0.328 |              |
| NGFS033620-343539 |    54.083365 |   -34.594147 | 03:36:20.01 | -34:35:38.93 |  21.67 |  -9.84 |     0.41 |       4.466 |    0.433 |              |
| NGFS033624-353122 |    54.098615 |   -35.522680 | 03:36:23.67 | -35:31:21.65 |  22.55 |  -8.96 |     0.46 |       1.641 |    0.159 |              |
| NGFS033624-355242 |    54.099567 |   -35.878437 | 03:36:23.90 | -35:52:42.37 |  20.60 | -10.91 |     1.10 |       1.915 |    0.186 |              |
| NGFS033625-344447 |    54.104510 |   -34.746349 | 03:36:25.08 | -34:44:46.86 |  21.97 |  -9.54 |     0.82 |       1.836 |    0.178 |              |
| NGFS033625-354212 |    54.104877 |   -35.703291 | 03:36:25.17 | -35:42:11.85 |  19.55 | -11.96 |     0.86 |       6.378 |    0.618 |              |
| NGFS033627-353821 |    54.110988 |   -35.639164 | 03:36:26.64 | -35:38:20.99 |  22.16 |  -9.35 |     0.61 |       2.343 |    0.227 |              |
| NGFS033631-344755 |    54.128380 |   -34.798487 | 03:36:30.81 | -34:47:54.55 |    nan |    nan |      nan |         nan |      nan |       FCC169 |
| NGFS033631-362248 |    54.130173 |   -36.380022 | 03:36:31.24 | -36:22:48.08 |  21.96 |  -9.55 |     1.60 |       1.462 |    0.142 |              |
| NGFS033633-360804 |    54.135644 |   -36.134365 | 03:36:32.55 | -36:08:03.71 |  21.65 |  -9.86 |     0.69 |       1.667 |    0.162 |              |
| NGFS033639-353641 |    54.160631 |   -35.611326 | 03:36:38.55 | -35:36:40.77 |  20.39 | -11.12 |     0.86 |       6.099 |    0.591 |              |
| NGFS033641-353520 |    54.169379 |   -35.588968 | 03:36:40.65 | -35:35:20.28 |    nan |    nan |      nan |         nan |      nan |              |
| NGFS033642-344241 |    54.174171 |   -34.711461 | 03:36:41.80 | -34:42:41.26 |  19.90 | -11.61 |     0.87 |       5.118 |    0.496 |              |
| NGFS033643-352609 |    54.179157 |   -35.435803 | 03:36:43.00 | -35:26:08.89 |    nan |    nan |      nan |         nan |      nan |       FCC175 |
| NGFS033644-360343 |    54.182443 |   -36.062021 | 03:36:43.79 | -36:03:43.28 |  22.93 |  -8.58 |     1.70 |       1.846 |    0.179 |              |
| NGFS033646-355527 |    54.191307 |   -35.924264 | 03:36:45.91 | -35:55:27.35 |  21.86 |  -9.65 |     0.57 |       2.230 |    0.216 |   IM3_7_LSB1 |
| NGFS033649-361348 |    54.204847 |   -36.229999 | 03:36:49.16 | -36:13:48.00 |  17.04 | -14.47 |     1.03 |      15.130 |    1.467 |       FCC180 |
| NGFS033650-345655 |    54.208147 |   -34.948504 | 03:36:49.96 | -34:56:54.61 |  18.48 | -13.03 |     1.38 |       2.078 |    0.201 |              |
| NGFS033652-360840 |    54.217835 |   -36.144507 | 03:36:52.28 | -36:08:40.23 |  22.90 |  -8.61 |     1.15 |       1.804 |    0.175 |              |
| NGFS033654-355541 |    54.225296 |   -35.928023 | 03:36:54.07 | -35:55:40.88 |  21.83 |  -9.68 |     1.10 |       1.723 |    0.167 |              |
| NGFS033654-354450 |    54.226572 |   -35.747144 | 03:36:54.38 | -35:44:49.72 |  20.42 | -11.09 |     0.66 |       5.273 |    0.511 |    WFLSB10-2 |
| NGFS033655-362112 |    54.228827 |   -36.353391 | 03:36:54.92 | -36:21:12.21 |  20.57 | -10.94 |     0.62 |       3.979 |    0.386 |              |
| NGFS033655-355640 |    54.229109 |   -35.944392 | 03:36:54.99 | -35:56:39.81 |  21.66 |  -9.85 |     0.73 |       2.472 |    0.240 |   IM3_7_LSB2 |
| NGFS033703-345233 |    54.261056 |   -34.875774 | 03:37:02.65 | -34:52:32.79 |    nan |    nan |      nan |         nan |      nan |       FCC185 |
| NGFS033713-361528 |    54.303830 |   -36.257890 | 03:37:12.92 | -36:15:28.40 |  19.79 | -11.72 |     0.82 |       6.301 |    0.611 |              |
| NGFS033715-344205 |    54.312749 |   -34.701412 | 03:37:15.06 | -34:42:05.08 |  21.22 | -10.29 |     1.04 |       1.654 |    0.160 |              |
| NGFS033716-352130 |    54.315355 |   -35.358242 | 03:37:15.69 | -35:21:29.67 |  21.03 | -10.48 |     0.47 |       5.407 |    0.524 |     WFLSB2-3 |
| NGFS033716-354701 |    54.315665 |   -35.783657 | 03:37:15.76 | -35:47:01.17 |  22.03 |  -9.48 |     0.60 |       3.074 |    0.298 |              |
| NGFS033720-353118 |    54.332849 |   -35.521601 | 03:37:19.88 | -35:31:17.76 |  20.63 | -10.88 |     2.27 |       2.596 |    0.252 |              |
| NGFS033723-345401 |    54.346543 |   -34.900292 | 03:37:23.17 | -34:54:01.05 |    nan |    nan |      nan |         nan |      nan |       FCC195 |
| NGFS033735-343400 |    54.393832 |   -34.566501 | 03:37:34.52 | -34:33:59.40 |  20.34 | -11.17 |     0.86 |       5.265 |    0.511 |              |
| NGFS033737-344430 |    54.403584 |   -34.741585 | 03:37:36.86 | -34:44:29.71 |  19.98 | -11.53 |     1.13 |       2.015 |    0.195 |              |
| NGFS033738-352308 |    54.410400 |   -35.385500 | 03:37:38.50 | -35:23:07.80 |  20.00 | -11.51 |     0.76 |       4.997 |    0.485 |     WFLSB2-1 |
| NGFS033741-351746 |    54.421200 |   -35.296146 | 03:37:41.09 | -35:17:46.13 |  18.61 | -12.90 |     0.79 |       5.873 |    0.569 |       FCC197 |
| NGFS033741-361026 |    54.420634 |   -36.173910 | 03:37:40.95 | -36:10:26.08 |  20.44 | -11.07 |     0.77 |       8.132 |    0.788 |              |
| NGFS033742-355721 |    54.424789 |   -35.955757 | 03:37:41.95 | -35:57:20.73 |  19.58 | -11.93 |     0.84 |      10.270 |    0.996 |    WFLSB10-7 |
| NGFS033744-354214 |    54.435199 |   -35.703984 | 03:37:44.45 | -35:42:14.34 |  20.38 | -11.13 |     0.59 |       3.456 |    0.335 |     WFLSB2-7 |
| NGFS033750-353302 |    54.457799 |   -35.550438 | 03:37:49.87 | -35:33:01.58 |  21.76 |  -9.75 |     0.50 |       3.232 |    0.313 |              |
| NGFS033751-352146 |    54.462119 |   -35.362881 | 03:37:50.91 | -35:21:46.37 |  21.52 |  -9.99 |     0.48 |       4.603 |    0.446 |              |
| NGFS033755-345256 |    54.477823 |   -34.882293 | 03:37:54.68 | -34:52:56.25 |  16.56 | -14.95 |     1.32 |       8.587 |    0.833 |       FCC200 |
| NGFS033806-360301 |    54.526090 |   -36.050146 | 03:38:06.26 | -36:03:00.53 |  19.98 | -11.53 |     0.67 |       4.016 |    0.389 |    WFLSB10-8 |
| NGFS033807-353531 |    54.527900 |   -35.592000 | 03:38:06.70 | -35:35:31.20 |  22.41 |  -9.10 |     0.55 |       2.998 |    0.291 |     WFLSB2-9 |
| NGFS033808-360420 |    54.531330 |   -36.072092 | 03:38:07.52 | -36:04:19.53 |  22.73 |  -8.78 |     0.71 |       4.108 |    0.398 |              |
| NGFS033808-360030 |    54.535271 |   -36.008354 | 03:38:08.47 | -36:00:30.07 |  21.24 | -10.27 |     0.80 |       3.387 |    0.328 |    WFLSB10-1 |
| NGFS033809-350954 |    54.535921 |   -35.165108 | 03:38:08.62 | -35:09:54.39 |  20.26 | -11.25 |     0.41 |       6.112 |    0.593 |              |
| NGFS033811-362016 |    54.545856 |   -36.337657 | 03:38:11.01 | -36:20:15.57 |  20.67 | -10.84 |     0.49 |       4.837 |    0.469 |              |
| NGFS033815-350722 |    54.562036 |   -35.122848 | 03:38:14.89 | -35:07:22.25 |  21.24 | -10.27 |     0.71 |       4.368 |    0.424 |              |
| NGFS033815-361652 |    54.564160 |   -36.281169 | 03:38:15.40 | -36:16:52.21 |  20.31 | -11.20 |     0.59 |       6.517 |    0.632 |              |
| NGFS033818-344028 |    54.575622 |   -34.674438 | 03:38:18.15 | -34:40:27.98 |  19.88 | -11.63 |     0.93 |       5.920 |    0.574 |              |
| NGFS033819-360357 |    54.580131 |   -36.065719 | 03:38:19.23 | -36:03:56.59 |  18.14 | -13.37 |     0.85 |       7.467 |    0.724 |       FCC210 |
| NGFS033822-345537 |    54.593667 |   -34.926927 | 03:38:22.48 | -34:55:36.94 |  20.98 | -10.53 |     0.97 |       5.242 |    0.508 |              |
| NGFS033823-354537 |    54.595511 |   -35.760315 | 03:38:22.92 | -35:45:37.13 |  23.06 |  -8.45 |     0.37 |       1.736 |    0.168 |              |
| NGFS033825-360418 |    54.603971 |   -36.071598 | 03:38:24.95 | -36:04:17.75 |  22.93 |  -8.58 |     0.13 |       1.412 |    0.137 |              |
| NGFS033826-360545 |    54.606718 |   -36.095700 | 03:38:25.61 | -36:05:44.52 |  22.26 |  -9.25 |     1.05 |       1.233 |    0.120 |              |
| NGFS033827-350907 |    54.613447 |   -35.152073 | 03:38:27.23 | -35:09:07.46 |  20.45 | -11.06 |     1.65 |       6.778 |    0.657 |              |
| NGFS033831-344629 |    54.631123 |   -34.774638 | 03:38:31.47 | -34:46:28.70 |  20.97 | -10.54 |     0.81 |       2.764 |    0.268 |              |
| NGFS033837-355002 |    54.652580 |   -35.833946 | 03:38:36.62 | -35:50:02.21 |  18.46 | -13.05 |     0.79 |       5.071 |    0.492 |       FCC214 |
| NGFS033842-353308 |    54.675859 |   -35.552130 | 03:38:42.21 | -35:33:07.67 |  19.28 | -12.23 |     0.77 |       4.447 |    0.431 | IM1_2_5_LSB1 |
| NGFS033847-345913 |    54.695702 |   -34.986876 | 03:38:46.97 | -34:59:12.75 |  21.69 |  -9.82 |     0.89 |       2.459 |    0.238 |              |
| NGFS033852-361804 |    54.716789 |   -36.301054 | 03:38:52.03 | -36:18:03.79 |  20.69 | -10.82 |     1.65 |       2.759 |    0.268 |              |
| NGFS033854-355912 |    54.725820 |   -35.986665 | 03:38:54.20 | -35:59:11.99 |  21.30 | -10.21 |     1.36 |       4.013 |    0.389 |              |
| NGFS033855-351413 |    54.729368 |   -35.237000 | 03:38:55.05 | -35:14:13.20 |  18.43 | -13.08 |     0.84 |       7.598 |    0.737 |       FCC220 |
| NGFS033858-351105 |    54.739897 |   -35.184658 | 03:38:57.58 | -35:11:04.77 |  19.09 | -12.42 |     0.72 |       7.764 |    0.753 |       FCC401 |
| NGFS033859-354428 |    54.745801 |   -35.741138 | 03:38:58.99 | -35:44:28.10 |  20.24 | -11.27 |     1.34 |       2.641 |    0.256 |              |
| NGFS033901-362019 |    54.753401 |   -36.338584 | 03:39:00.82 | -36:20:18.90 |  18.95 | -12.56 |     0.94 |       5.823 |    0.565 |              |
| NGFS033907-350722 |    54.779490 |   -35.122876 | 03:39:07.08 | -35:07:22.35 |  20.39 | -11.12 |     0.84 |       3.593 |    0.348 |     WFLSB3-2 |
| NGFS033916-350021 |    54.816614 |   -35.005877 | 03:39:15.99 | -35:00:21.16 |  21.53 |  -9.98 |     0.73 |       2.722 |    0.264 |              |
| NGFS033917-354645 |    54.822072 |   -35.779284 | 03:39:17.30 | -35:46:45.42 |  22.20 |  -9.31 |     0.38 |       1.623 |    0.157 |              |
| NGFS033922-353524 |    54.843638 |   -35.590022 | 03:39:22.47 | -35:35:24.08 |  19.33 | -12.18 |     1.08 |       2.762 |    0.268 | IM1_2_2_LSB1 |
| NGFS033929-353421 |    54.870451 |   -35.572583 | 03:39:28.91 | -35:34:21.30 |  19.92 | -11.59 |     0.70 |       8.384 |    0.813 |     WFLSB1-2 |
| NGFS033932-360559 |    54.884181 |   -36.099673 | 03:39:32.20 | -36:05:58.82 |  20.06 | -11.45 |     0.65 |       5.549 |    0.538 |              |
| NGFS033942-353155 |    54.923359 |   -35.531899 | 03:39:41.61 | -35:31:54.84 |  19.89 | -11.62 |     0.99 |       5.505 |    0.534 |     WFLSB1-3 |
| NGFS033942-352806 |    54.924988 |   -35.468362 | 03:39:42.00 | -35:28:06.10 |  20.87 | -10.64 |     1.32 |       7.427 |    0.720 |              |
| NGFS033946-361130 |    54.942303 |   -36.191657 | 03:39:46.15 | -36:11:29.97 |  21.62 |  -9.89 |     1.51 |       1.362 |    0.132 |              |
| NGFS033948-361111 |    54.950765 |   -36.186495 | 03:39:48.18 | -36:11:11.38 |  20.10 | -11.41 |     1.87 |       5.797 |    0.562 |              |
| NGFS033948-344624 |    54.950856 |   -34.773438 | 03:39:48.21 | -34:46:24.38 |  21.57 |  -9.94 |     1.27 |       1.510 |    0.146 |              |
| NGFS033950-350124 |    54.959189 |   -35.023227 | 03:39:50.21 | -35:01:23.62 |  17.42 | -14.09 |     0.57 |      20.230 |    1.962 |       FCC226 |
| NGFS033951-360045 |    54.963183 |   -36.012438 | 03:39:51.16 | -36:00:44.78 |  21.23 | -10.28 |     0.77 |       3.650 |    0.354 |              |
| NGFS033951-351919 |    54.964090 |   -35.322073 | 03:39:51.38 | -35:19:19.46 |  18.31 | -13.20 |     0.73 |       9.234 |    0.895 |       FCC228 |
| NGFS033953-360831 |    54.969000 |   -36.141946 | 03:39:52.56 | -36:08:31.01 |  20.95 | -10.56 |     0.70 |       3.777 |    0.366 |              |
| NGFS033955-344146 |    54.977090 |   -34.696146 | 03:39:54.50 | -34:41:46.13 |  19.52 | -11.99 |     0.71 |       3.911 |    0.379 |              |
| NGFS034000-360537 |    55.001275 |   -36.093656 | 03:40:00.31 | -36:05:37.16 |  19.98 | -11.53 |     1.20 |       7.966 |    0.772 |              |
| NGFS034002-352930 |    55.007240 |   -35.491627 | 03:40:01.74 | -35:29:29.86 |  22.80 |  -8.71 |     0.48 |       1.370 |    0.133 |              |
| NGFS034003-352920 |    55.013060 |   -35.488945 | 03:40:03.13 | -35:29:20.20 |  21.77 |  -9.74 |     1.31 |       1.307 |    0.127 |              |
| NGFS034003-352754 |    55.012990 |   -35.465073 | 03:40:03.12 | -35:27:54.26 |  19.94 | -11.57 |     0.49 |       9.636 |    0.934 |     WFLSB1-5 |
| NGFS034003-362143 |    55.013096 |   -36.361876 | 03:40:03.14 | -36:21:42.75 |  23.55 |  -7.96 |     1.40 |       1.168 |    0.113 |              |
| NGFS034004-350422 |    55.018715 |   -35.072696 | 03:40:04.49 | -35:04:21.71 |  21.19 | -10.32 |     0.98 |       2.278 |    0.221 |              |
| NGFS034005-343907 |    55.021332 |   -34.652052 | 03:40:05.12 | -34:39:07.39 |  20.14 | -11.37 |     0.66 |       4.503 |    0.437 |              |
| NGFS034006-361402 |    55.025400 |   -36.233800 | 03:40:06.10 | -36:14:01.68 |  18.26 | -13.25 |     1.30 |      16.035 |    1.555 |              |
| NGFS034007-343554 |    55.028801 |   -34.598362 | 03:40:06.91 | -34:35:54.10 |  20.94 | -10.57 |     1.08 |       1.654 |    0.160 |              |
| NGFS034012-351720 |    55.052046 |   -35.288779 | 03:40:12.49 | -35:17:19.60 |  20.89 | -10.62 |     0.47 |       5.668 |    0.550 |              |
| NGFS034015-361608 |    55.060488 |   -36.269022 | 03:40:14.52 | -36:16:08.48 |  21.73 |  -9.78 |     1.06 |       1.623 |    0.157 |              |
| NGFS034018-360332 |    55.075265 |   -36.058877 | 03:40:18.06 | -36:03:31.96 |  21.80 |  -9.71 |     0.65 |       3.984 |    0.386 |              |
| NGFS034019-350815 |    55.077401 |   -35.137506 | 03:40:18.58 | -35:08:15.02 |  20.18 | -11.33 |     0.68 |       7.435 |    0.721 |              |
| NGFS034019-343233 |    55.078331 |   -34.542452 | 03:40:18.80 | -34:32:32.83 |  20.31 | -11.20 |     0.86 |       2.527 |    0.245 |              |
| NGFS034026-350013 |    55.109478 |   -35.003499 | 03:40:26.27 | -35:00:12.60 |  20.01 | -11.50 |     0.84 |       6.054 |    0.587 |              |
| NGFS034027-352512 |    55.111179 |   -35.419999 | 03:40:26.68 | -35:25:12.00 |  19.95 | -11.56 |     0.80 |       5.452 |    0.529 |              |
| NGFS034028-344710 |    55.118089 |   -34.786073 | 03:40:28.34 | -34:47:09.86 |  21.62 |  -9.89 |     0.22 |       3.430 |    0.333 |              |
| NGFS034034-355318 |    55.140092 |   -35.888292 | 03:40:33.62 | -35:53:17.85 |  20.27 | -11.24 |     0.71 |       5.481 |    0.531 |              |
| NGFS034037-352119 |    55.153440 |   -35.355145 | 03:40:36.83 | -35:21:18.52 |  20.31 | -11.20 |     0.48 |       8.342 |    0.809 |              |
| NGFS034041-345656 |    55.168829 |   -34.948950 | 03:40:40.52 | -34:56:56.22 |  18.72 | -12.79 |     0.72 |       7.769 |    0.753 |              |
| NGFS034042-353941 |    55.176865 |   -35.661430 | 03:40:42.45 | -35:39:41.15 |  17.37 | -14.14 |     0.66 |      10.152 |    0.984 |       FCC247 |
| NGFS034043-355139 |    55.180586 |   -35.860774 | 03:40:43.34 | -35:51:38.79 |  18.02 | -13.49 |     0.86 |       5.134 |    0.498 |       FCC248 |
| NGFS034044-353222 |    55.181661 |   -35.539524 | 03:40:43.60 | -35:32:22.29 |  22.15 |  -9.36 |     0.58 |       2.956 |    0.287 |              |
