#Table 1 from Hong-Xin Zhang et al. 2015 ApJ 802 30
#Ultra-compact Dwarfs
#
#ID			R.A.(J2000)	Decl.(J2000) v_los	u*						g								r								i								z								K_s							E(B-V) r_h,NGVS			r_h,HST	
#				(deg)				(deg)				(km s^-1)	(mag)				(mag)						(mag)						(mag)						(mag)						(mag)						(mag)	 (pc)					(pc)	
#Old Sample^a	
H20718		187.58181	12.15683	 861     9	22.15     0.01	21.08     0.00	20.58     0.00	20.38     0.00	20.29     0.01	20.58     0.01	0.027	11.0     0.2	       NaN        	
H24581		187.83334	12.19947	1283     9	21.61     0.00	20.48     0.00	19.97     0.00	19.71     0.00	19.59     0.00	19.74     0.00	0.023	11.4     0.2	       NaN        	
H51655		187.94149	12.45586	1320     25	22.30     0.01	21.34     0.00	20.86     0.00	20.64     0.00	20.52     0.01	20.80     0.02	0.025	12.1     0.3	       NaN        	
H59533		187.76536	12.53695	 693     8	21.04     0.00	20.01     0.00	19.51     0.00	19.27     0.00	19.16     0.00	19.38     0.01	0.020	13.0     0.2	       NaN        	
H65115		187.48801	12.60081	1491     10	21.27     0.00	20.27     0.00	19.79     0.00	19.54     0.00	19.40     0.00	19.69     0.01	0.022	12.8     0.2	       NaN        	
S41				187.81801	12.31261	1790     31	22.03     0.01	20.94     0.00	20.41     0.00	20.14     0.00	20.02     0.00	20.14     0.01	0.022	26.2     0.4	       NaN        	
S323			187.76845	12.38923	1157    106	21.65     0.01	20.67     0.00	20.19     0.00	19.95     0.00	19.83     0.00	20.09     0.01	0.023	33.7     0.6	       NaN        	
S376			187.75891	12.46381	1215    106	21.59     0.01	20.65     0.00	20.15     0.00	19.92     0.00	19.82     0.00	20.09     0.01	0.021	23.4     0.3	       NaN        	
S804			187.71277	12.43663	1137     7	20.95     0.00	19.67     0.00	19.07     0.00	18.75     0.00	18.56     0.00	18.50     0.00	0.022	13.5     0.3	       NaN        	
S991			187.69376	12.33826	1004     75	21.82     0.01	20.79     0.00	20.25     0.00	20.00     0.00	19.86     0.00	19.98     0.01	0.024	15.5     0.3	       NaN        	
S1044			187.68891	12.34263	2023     75	21.70     0.01	20.68     0.00	20.14     0.00	19.91     0.00	19.78     0.00	19.99     0.01	0.024	24.1     0.4	       NaN        	
S1301			187.66316	12.35901	1086    106	21.75     0.01	20.72     0.00	20.11     0.00	19.91     0.00	19.74     0.00	19.96     0.01	0.023	13.6     0.4	       NaN        	
S1449			187.64218	12.37956	1100    106	22.37     0.01	21.33     0.00	20.80     0.00	20.59     0.00	20.46     0.01	20.75     0.01	0.022	17.2     0.3	       NaN        	
S1504			187.63137	12.43405	 858     33	21.26     0.00	20.30     0.00	19.75     0.00	19.57     0.00	19.45     0.00	19.75     0.01	0.022	14.7     0.3	       NaN        	
S1617			187.61207	12.39196	1407     28	21.06     0.00	19.93     0.00	19.35     0.00	19.13     0.00	18.98     0.00	19.08     0.00	0.022	16.7     0.2	       NaN        	
S1631			187.60730	12.43919	1368     75	21.52     0.00	20.46     0.00	19.93     0.00	19.71     0.00	19.59     0.00	19.72     0.01	0.022	13.5     0.2	       NaN        	
S6003			187.79226	12.27445	1818     77	22.30     0.01	21.21     0.00	20.68     0.00	20.40     0.00	20.24     0.01	20.42     0.01	0.022	20.3     0.4	       NaN        	
S9053			187.70126	12.49469	 829    106	22.53     0.01	21.39     0.00	20.89     0.00	20.60     0.00	20.56     0.01	20.92     0.04	0.021	30.2     0.6	       NaN        	
VUCD8			188.01813	12.34176	1647     3	20.76     0.00	19.64     0.00	19.09     0.00	18.82     0.00	18.71     0.00	18.82     0.00	0.026	12.4     0.3	       NaN        	
VUCD10		187.62858	12.31157	2305     23	20.86     0.00	19.73     0.00	19.18     0.00	18.94     0.00	18.79     0.00	18.90     0.00	0.023	15.4     0.4	       NaN        	
M87UCD-1	187.83029	12.37554	1136     21	21.48     0.00	20.34     0.00	19.79     0.00	19.53     0.00	19.41     0.00	19.51     0.00	0.023	28.4     0.3	       NaN        	
M87UCD-2	187.69858	12.14034	1288     14	20.77     0.00	19.73     0.00	19.25     0.00	19.06     0.00	18.90     0.00	19.18     0.00	0.026	23.6     0.4	       NaN        	
M87UCD-3	187.58354	11.92186	1404     13	20.44     0.00	19.34     0.00	18.77     0.00	18.54     0.00	18.37     0.00	18.53     0.00	0.030	22.9     0.1	       NaN        	
M87UCD-4	187.59096	12.40067	1279     11	21.33     0.00	19.93     0.00	19.29     0.00	18.96     0.00	18.75     0.00	18.62     0.00	0.023	11.7     0.4	       NaN        	
M87UCD-5	187.41829	12.45780	1400     27	21.08     0.00	19.96     0.00	19.42     0.00	19.18     0.00	19.08     0.00	19.30     0.00	0.023	21.0     0.2	       NaN        	
M87UCD-6	187.51025	12.60938	1514     27	21.34     0.00	20.21     0.00	19.69     0.00	19.42     0.00	19.27     0.00	19.37     0.01	0.022	15.0     0.1	       NaN        	
M87UCD-7	187.52525	12.66499	1160     12	20.65     0.00	19.48     0.00	18.95     0.00	18.67     0.00	18.51     0.00	18.58     0.00	0.021	17.4     0.1	       NaN        	
M87UCD-8	187.43858	12.85025	1154     18	21.60     0.00	20.51     0.00	19.99     0.00	19.75     0.00	19.63     0.00	19.70     0.01	0.020	12.1     0.1	       NaN        	
M87UCD-9	187.59571	12.53021	 556     12	20.87     0.00	19.75     0.00	19.22     0.00	18.99     0.00	18.89     0.00	19.06     0.01	0.022	17.9     0.1	       NaN        	
M87UCD-10	187.50812	12.70747	1178     30	20.82     0.00	19.86     0.00	19.41     0.00	19.17     0.00	19.12     0.00	19.35     0.00	0.022	21.9     0.3	       NaN        	
M87UCD-11	187.62463	12.63949	 845     30	21.42     0.00	20.47     0.00	20.00     0.00	19.79     0.00	19.72     0.00	20.02     0.02	0.021	19.0     0.6	       NaN        	
M87UCD-12	187.63100	12.86572	1497     10	21.51     0.00	20.13     0.00	19.48     0.00	19.17     0.00	19.01     0.00	18.85     0.00	0.021	12.4     0.5	       NaN        	
M87UCD-13	187.70533	12.62171	1605     7	21.07     0.00	19.95     0.00	19.38     0.00	19.12     0.00	18.98     0.00	19.01     0.01	0.021	12.8     0.2	       NaN        	
M87UCD-14	187.76812	13.17849	1347     7	21.64     0.01	20.26     0.00	19.67     0.00	19.31     0.00	19.13     0.00	19.03     0.01	0.025	11.2     0.3	       NaN        	
M87UCD-15	187.99162	13.25948	1261     12	20.71     0.00	19.66     0.00	19.15     0.00	18.90     0.00	18.83     0.00	19.08     0.01	0.027	40.2     0.4	       NaN        	
M87UCD-16	187.88208	12.69177	1119     12	20.65     0.00	19.49     0.00	18.89     0.00	18.62     0.00	18.46     0.00	18.62     0.00	0.025	38.1     0.2	       NaN        	
M87UCD-17	187.89638	12.58316	 950     7	21.40     0.00	20.10     0.00	19.47     0.00	19.19     0.00	19.00     0.00	19.04     0.00	0.024	11.9     0.3	       NaN        	
M87UCD-18	187.85313	12.42384	1780     8	20.85     0.00	19.80     0.00	19.27     0.00	19.04     0.00	18.90     0.00	19.09     0.00	0.022	13.2     0.1	       NaN        	
M87UCD-19	187.99000	12.82488	1086     15	21.38     0.00	20.31     0.00	19.81     0.00	19.55     0.00	19.48     0.00	19.71     0.01	0.023	18.9     0.2	       NaN        	
M87UCD-20	187.42217	12.66457	1754    105	21.43     0.00	20.25     0.00	19.73     0.00	19.45     0.00	19.30     0.00	19.42     0.01	0.021	16.7     0.3	       NaN        	
M87UCD-21	187.90599	12.29465	1484     28	21.59     0.00	20.60     0.00	20.16     0.00	19.86     0.00	19.77     0.00	20.02     0.01	0.023	11.4     0.3	       NaN        	
M87UCD-22	187.46783	12.62716	 905     20	22.09     0.01	20.80     0.00	20.21     0.00	19.92     0.00	19.72     0.00	19.72     0.01	0.021	11.7     0.2	       NaN        	
M87UCD-23	187.42317	12.74100	1314     23	22.13     0.01	20.95     0.00	20.38     0.00	20.10     0.00	19.95     0.00	20.04     0.01	0.022	11.1     0.2	       NaN        	
M87UCD-24	187.29442	12.71781	1224     34	22.01     0.01	20.88     0.00	20.32     0.00	20.07     0.00	19.97     0.01	20.01     0.01	0.022	12.3     0.2	       NaN        	
M87UCD-25	187.91054	11.98996	1264     26	21.88     0.01	20.78     0.00	20.26     0.00	20.01     0.00	19.89     0.00	20.13     0.01	0.029	19.4     0.4	       NaN        	
M87UCD-26	187.56892	12.26579	2030     18	21.05     0.00	20.04     0.00	19.55     0.00	19.30     0.00	19.17     0.00	19.39     0.00	0.023	17.3     0.3	       NaN        	
M87UCD-27	188.10566	12.33246	1272     23	21.56     0.00	20.52     0.00	20.01     0.00	19.76     0.00	19.69     0.00	19.89     0.01	0.027	11.7     0.3	       NaN        	
M87UCD-28	187.52553	12.40982	1870     29	21.78     0.00	20.59     0.00	20.03     0.00	19.74     0.00	19.62     0.00	19.68     0.01	0.026	12.9     0.2	       NaN        	
M87UCD-29	187.02759	12.41012	 599     33	21.97     0.01	20.94     0.00	20.42     0.00	20.21     0.00	20.11     0.01	20.32     0.01	0.028	12.6     0.3	       NaN        	
M87UCD-30	187.15505	12.47934	1534     28	22.06     0.01	21.01     0.00	20.48     0.00	20.25     0.00	20.14     0.01	20.31     0.02	0.024	12.6     0.3	       NaN        	
M87UCD-31	187.73054	12.41109	1301     30	22.03     0.01	20.95     0.00	20.40     0.00	20.16     0.00	20.01     0.01	20.08     0.01	0.023  9.7     0.1      	10.4	
M87UCD-32	187.85521	12.32549	1632     34	21.21     0.00	20.22     0.00	19.73     0.00	19.48     0.00	19.39     0.00	19.65     0.00	0.023	33.2     0.5	       NaN        	
M87UCD-33	188.06020	12.03307	1833     22	21.81     0.01	20.65     0.00	20.09     0.00	19.79     0.00	19.66     0.00	19.70     0.01	0.029	16.3     0.4	       NaN        	
M87UCD-34	187.31196	11.89551	 905     19	21.25     0.00	20.19     0.00	19.65     0.00	19.40     0.00	19.27     0.00	19.45     0.00	0.027	11.7     0.3	       NaN        	
M87UCD-35	188.09787	11.96527	1007     16	21.36     0.00	20.19     0.00	19.57     0.00	19.34     0.00	19.19     0.00	19.23     0.00	0.032	11.5     0.3	       NaN        	
M87UCD-36	187.79709	12.50030	1207     21	22.03     0.01	20.76     0.00	20.18     0.00	19.88     0.00	19.74     0.00	19.79     0.01	0.020	12.1     0.4	       NaN        	
M87UCD-37	187.54091	12.62679	1324     38	22.15     0.01	21.04     0.00	20.52     0.00	20.26     0.00	20.12     0.01	20.20     0.01	0.022	11.3     0.1	       NaN        	
M87UCD-38	187.62717	12.67106	1154     18	21.31     0.00	20.07     0.00	19.49     0.00	19.20     0.00	19.09     0.00	19.12     0.01	0.022	22.1     0.3	       NaN        	
M87UCD-39	188.44296	11.95064	1351     23	22.32     0.01	21.00     0.00	20.38     0.00	20.03     0.00	19.85     0.01	19.77     0.01	0.036	11.2     0.2	       NaN        	
#
#Notes. Column 1: object ID; Column 2: right ascension in decimal degrees (J2000); Column 3: declination in decimal degrees (J2000); Column 4: heliocentric radial velocity; Columns 5-9: MegaCam u*griz five-band 3" diameter AB magnitudes (not corrected for Galactic extinction); Column 10: WIRCam Ks-band 3" diameter AB magnitude (not corrected for Galactic extinction); Column 11: the Galactic reddening determined by Schlegel et al. (1998); Column 12: half-light radius (in units of pc) measured on NGVS images; Column 13: half-light radius (in units of pc) measured on HST images.
#a The UCDs have been compiled by Brodie et al. (2011). In addition, g- and i-band photometry for H30772 and S887 is from Brodie et al. (2011).
